instid;en_name;cat;journalnumb;n;jf;jfxpub
371;Department of Mathematical Sciences;INTEGRATIVE & COMPLEMENTARY MEDICINE;1;1;1.354;1.354
371;Department of Mathematical Sciences;BIOCHEMISTRY & MOLECULAR BIOLOGY;10;10;1.353;13.530
371;Department of Mathematical Sciences;GEOSCIENCES, MULTIDISCIPLINARY;3;3;1.353;4.059
371;Department of Mathematical Sciences;CHEMISTRY, MULTIDISCIPLINARY;2;2;1.329;2.658
371;Department of Mathematical Sciences;PHYSICS, PARTICLES & FIELDS;5;8;1.317;10.536
371;Department of Mathematical Sciences;NUTRITION & DIETETICS;1;1;1.302;1.302
371;Department of Mathematical Sciences;ENERGY & FUELS;3;3;1.271;3.813
371;Department of Mathematical Sciences;PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;3;5;1.261;6.305
371;Department of Mathematical Sciences;ENDOCRINOLOGY & METABOLISM;14;19;1.231;23.389
371;Department of Mathematical Sciences;MATHEMATICS, INTERDISCIPLINARY APPLICATIONS;11;21;1.225;25.725
371;Department of Mathematical Sciences;POLYMER SCIENCE;1;2;1.221;2.442
371;Department of Mathematical Sciences;FOOD SCIENCE & TECHNOLOGY;1;2;1.213;2.426
371;Department of Mathematical Sciences;REMOTE SENSING;2;2;1.211;2.422
371;Department of Mathematical Sciences;MATERIALS SCIENCE, MULTIDISCIPLINARY;4;5;1.199;5.995
371;Department of Mathematical Sciences;MICROBIOLOGY;6;8;1.194;9.552
371;Department of Mathematical Sciences;PHYSICS, FLUIDS & PLASMAS;2;5;1.193;5.965
371;Department of Mathematical Sciences;ENVIRONMENTAL SCIENCES;12;14;1.156;16.184
371;Department of Mathematical Sciences;MATHEMATICS;89;159;1.155;183.645
371;Department of Mathematical Sciences;NUCLEAR SCIENCE & TECHNOLOGY;1;1;1.154;1.154
371;Department of Mathematical Sciences;CHEMISTRY, PHYSICAL;2;3;1.136;3.408
371;Department of Mathematical Sciences;CARDIAC & CARDIOVASCULAR SYSTEMS;2;2;1.132;2.264
371;Department of Mathematical Sciences;RHEUMATOLOGY;1;1;1.127;1.127
371;Department of Mathematical Sciences;AGRONOMY;1;1;1.123;1.123
371;Department of Mathematical Sciences;GENETICS & HEREDITY;14;21;1.082;22.722
371;Department of Mathematical Sciences;MICROSCOPY;2;7;1.072;7.504
371;Department of Mathematical Sciences;MEDICAL INFORMATICS;1;3;1.067;3.201
371;Department of Mathematical Sciences;ONCOLOGY;11;12;1.064;12.768
371;Department of Mathematical Sciences;ENGINEERING, INDUSTRIAL;5;5;1.051;5.255
371;Department of Mathematical Sciences;OPERATIONS RESEARCH & MANAGEMENT SCIENCE;11;14;1.048;14.672
371;Department of Mathematical Sciences;COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;5;7;1.043;7.301
371;Department of Mathematical Sciences;PHYSIOLOGY;3;3;1.042;3.126
371;Department of Mathematical Sciences;ECOLOGY;5;6;1.040;6.240
371;Department of Mathematical Sciences;MEDICINE, LEGAL;1;2;1.029;2.058
371;Department of Mathematical Sciences;CRITICAL CARE MEDICINE;1;1;1.027;1.027
371;Department of Mathematical Sciences;CLINICAL NEUROLOGY;8;16;1.025;16.400
371;Department of Mathematical Sciences;TOXICOLOGY;3;4;1.021;4.084
